작업ID	콘텐츠ID	대분류	콘텐츠명	작업구분	세부 작업	설명	우선순위	상태	담당	시작일	마감일	비고
T001	C001	육아	아기 기저귀 값 계산기	기획	페이지 제목 후보 정리	검색형/클릭형 제목 5~10개 정리	상	할 일
T002	C001	육아	아기 기저귀 값 계산기	SEO	핵심 검색 키워드 정리	기저귀값 계산기/돌까지 기저귀값 등	상	할 일
T003	C001	육아	아기 기저귀 값 계산기	데이터	월령별 사용량 기준 정의	0~12개월 하루 평균 사용량 추정치 정리	상	할 일
T004	C001	육아	아기 기저귀 값 계산기	기획	계산 로직 정의	월 사용량/총 사용량/총 비용 계산식 정리	상	할 일
T005	C001	육아	아기 기저귀 값 계산기	데이터	브랜드 가격 기준 정리	브랜드별 팩 가격/장수/장당가 기준	상	할 일
T006	C001	육아	아기 기저귀 값 계산기	콘텐츠	브랜드 장단점 정리	대표 브랜드별 장단점 요약	중	할 일
T007	C001	육아	아기 기저귀 값 계산기	UI	결과 화면 구성 정의	결과 카드/비교표/해석 영역 설계	상	할 일
T008	C001	육아	아기 기저귀 값 계산기	콘텐츠	FAQ 정리	언제까지 쓰나/하루 몇 개 쓰나 등	중	할 일
T009	C001	육아	아기 기저귀 값 계산기	수익화	쿠팡파트너스 링크 위치 정의	브랜드 비교표 옆 버튼 + 결과 하단 추천 카드	중	할 일
T010	C002	육아	아기 분유 값 계산기	기획	페이지 제목 후보 정리	검색형/클릭형 제목 5~10개 정리	상	할 일
T011	C002	육아	아기 분유 값 계산기	SEO	핵심 검색 키워드 정리	분유값 계산기/돌까지 분유값 등	상	할 일
T012	C002	육아	아기 분유 값 계산기	데이터	월령별 수유량 기준 정의	0~12개월 하루 평균 수유량 추정치 정리	상	할 일
T013	C002	육아	아기 분유 값 계산기	기획	계산 로직 정의	월 섭취량/필요 캔 수/총 비용 계산식 정리	상	할 일
T014	C002	육아	아기 분유 값 계산기	데이터	브랜드 가격 기준 정리	브랜드별 캔 용량/가격/100mL당 가격	상	할 일
T015	C002	육아	아기 분유 값 계산기	기획	혼합수유 로직 검토	완분/혼합수유 비용 차이 반영	중	할 일
T016	C002	육아	아기 분유 값 계산기	콘텐츠	브랜드 장단점 정리	대표 브랜드별 장단점 요약	중	할 일
T017	C002	육아	아기 분유 값 계산기	UI	결과 화면 구성 정의	결과 카드/비교표/해석 영역 설계	상	할 일
T018	C002	육아	아기 분유 값 계산기	콘텐츠	FAQ 정리	한 달 비용/1통 며칠 가는지 등	중	할 일
T019	C002	육아	아기 분유 값 계산기	수익화	쿠팡파트너스 링크 위치 정의	브랜드 비교표 옆 버튼 + 결과 하단 추천 카드	중	할 일
T020	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	기획	페이지 제목 후보 정리	검색형/클릭형 제목 정리	상	할 일
T021	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	SEO	핵심 검색 키워드 정리	규제지역 대출 계산기/집 살 때 현금 얼마 등	상	할 일
T022	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	정책	규제지역 정의 정리	규제지역/비규제지역 개념 및 기준	상	할 일
T023	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	기획	입력값 정의	매매가/지역/소득/주택수/보유현금 등	상	할 일
T024	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	기획	계산 로직 정의	LTV/대출 가능액/취득세/총 필요 현금	상	할 일
T025	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	기획	출력값 정의	대출 가능액/필요 현금/부족 현금/월 상환액	상	할 일
T026	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	UI	비교표 설계	규제지역 vs 비규제지역 차이 표	중	할 일
T027	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	기획	부대비용 범위 정의	취득세/중개비/법무비 포함 범위	중	할 일
T028	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	콘텐츠	FAQ 정리	LTV/DSR/생애최초/현금 필요액 등	중	할 일
T029	C003	부동산	부동산 규제/비규제 지역 매매 자금 계산기	정책	면책 문구 정의	정책 변경 가능성/참고용 추정치 문구	상	할 일
T030	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	기획	시리즈 구조 정의	서울/강남구/서초구 등 구조 정의	상	할 일
T031	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	기획	1차 대상 지역 선정	처음 만들 지역 선정	상	할 일
T032	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	데이터	국평 기준 정의	84타입 중심 기준 정리	상	할 일
T033	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	데이터	기준 시점 정의	최근 1년/최근 거래 기준 정리	상	할 일
T034	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	UI	표/차트 구조 정의	랭킹표/비교 차트/평당가 비교	중	할 일
T035	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	기획	랭킹 기준 정의	실거래가 기준/면적 보정 기준	상	할 일
T036	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	콘텐츠	재미 요소 정의	연봉 환산/그랜저 환산/대출 환산 등	중	할 일
T037	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	콘텐츠	해석 포인트 정리	왜 비싼지/지역별 차이 인사이트	중	할 일
T038	C004	부동산	국평 아파트 TOP10 실거래가 시리즈	SEO	SEO 제목 템플릿 정의	서울 국평 TOP10 형식 템플릿	중	할 일
